time,frequency,confidence
33.250,590.684,0.725686
33.300,524.800,0.740269
33.350,525.906,0.656584
33.400,527.697,0.636057
33.450,526.446,0.631980
33.500,534.217,0.279241
33.550,524.500,0.819060
33.600,525.786,0.913631
33.650,530.069,0.569419
33.700,522.979,0.881136
33.750,526.817,0.634923
33.800,534.005,0.776458
33.850,519.674,0.580944
33.900,549.143,0.411956
33.950,583.480,0.718247
34.000,584.271,0.740693
34.050,567.410,0.425500
34.100,532.068,0.369734
34.150,525.939,0.555890
34.200,523.454,0.458524
34.250,515.835,0.175243
34.300,486.842,0.236768
34.350,460.751,0.159116
34.400,435.365,0.886396
34.450,439.103,0.854058
34.500,438.571,0.828149
34.550,439.872,0.675919
34.600,438.031,0.806381
34.650,438.339,0.868670
34.700,439.966,0.488887
34.750,438.947,0.871488
34.800,431.648,0.168150
34.850,394.501,0.225083
34.900,441.279,0.790408
34.950,437.763,0.492431
35.000,437.328,0.369885
35.050,394.470,0.127674
35.100,440.495,0.573440
35.150,410.986,0.576879
35.200,393.942,0.643710
35.250,391.903,0.298186
35.300,436.425,0.609690
35.350,398.779,0.656266
35.400,392.710,0.599894
35.450,390.295,0.714643
35.500,436.492,0.853526
35.550,489.285,0.715244
35.600,493.670,0.704224
35.650,495.358,0.475982
35.700,492.430,0.644378
35.750,496.788,0.427714
35.800,494.527,0.862109
35.850,496.974,0.751156
35.900,494.536,0.819177
35.950,492.040,0.365631
36.000,490.048,0.540533
36.050,489.070,0.689384
36.100,444.438,0.825324
36.150,440.268,0.688879
36.200,438.385,0.411452
36.250,460.726,0.562225
36.300,492.255,0.402730
36.350,445.113,0.656125
36.400,439.387,0.544153
36.450,438.294,0.600415
36.500,438.366,0.755434
36.550,436.364,0.557242
36.600,438.886,0.877559
36.650,439.436,0.887412
36.700,439.487,0.928291
36.750,440.431,0.904557
36.800,437.828,0.508637
36.850,438.768,0.524170
36.900,436.798,0.443365
36.950,438.093,0.896852
37.000,438.530,0.832957
37.050,438.642,0.417406
37.100,437.495,0.202920
37.150,438.817,0.692743
37.200,438.751,0.485635
37.250,440.924,0.639556
37.300,439.362,0.452575
37.350,440.605,0.609450
37.400,438.771,0.755051
37.450,440.476,0.926316
37.500,440.185,0.791075
37.550,438.232,0.569335
37.600,436.269,0.557327
37.650,427.893,0.658729
37.700,416.039,0.503687
37.750,391.657,0.707917
37.800,395.574,0.298768
37.850,391.613,0.546782
37.900,352.087,0.773869
37.950,325.655,0.262732
38.000,293.389,0.651946
38.050,291.103,0.446970
38.100,292.408,0.410993
38.150,288.489,0.487013
38.200,291.689,0.656379
38.250,290.462,0.689020
38.300,291.446,0.537527
38.350,289.737,0.417231
38.400,320.785,0.567176
38.450,349.077,0.791345
38.500,388.034,0.692827
38.550,390.602,0.465551
38.600,388.436,0.506982
38.650,389.650,0.373002
38.700,390.104,0.780115
38.750,390.127,0.757189
38.800,390.044,0.432837
38.850,391.125,0.461391
38.900,390.326,0.757457
38.950,391.710,0.730422
39.000,390.005,0.327233
39.050,394.319,0.354131
39.100,390.549,0.149825
39.150,391.880,0.716377
39.200,433.026,0.651264
39.250,442.055,0.882393
39.300,434.889,0.889443
39.350,436.916,0.861671
39.400,438.305,0.505354
39.450,440.850,0.632853
39.500,438.826,0.806866
39.550,431.036,0.350348
39.600,436.106,0.817163
39.650,439.023,0.340183
39.700,464.736,0.219054
39.750,494.890,0.795582
39.800,490.899,0.902133
39.850,490.360,0.510852
