time,frequency,confidence
36.150,557.645,0.494438
36.200,557.369,0.761833
36.250,581.988,0.689440
36.300,587.897,0.976094
36.350,590.144,0.929240
36.400,556.910,0.911531
36.450,497.373,0.518416
36.500,444.987,0.778959
36.550,441.242,0.873313
36.600,384.426,0.287416
36.650,370.668,0.796343
36.700,327.033,0.550152
36.750,294.464,0.958575
36.800,294.478,0.968270
36.850,295.069,0.974949
36.900,294.419,0.954373
36.950,294.680,0.787657
37.000,294.122,0.858142
37.050,294.559,0.656199
37.100,293.319,0.809427
37.150,295.405,0.645745
37.200,293.478,0.773156
37.250,295.390,0.914759
37.300,293.826,0.521757
37.350,293.873,0.471933
37.400,296.055,0.532679
37.450,318.046,0.880474
37.500,333.827,0.653059
37.550,347.675,0.817059
37.600,366.947,0.839813
37.650,403.262,0.701331
37.700,432.936,0.719630
37.750,445.250,0.366773
37.800,496.119,0.419860
37.850,520.753,0.812773
37.900,498.362,0.918490
37.950,513.653,0.840312
38.000,526.467,0.918862
38.050,531.362,0.468543
38.100,537.588,0.968046
38.150,539.403,0.589706
38.200,525.253,0.768415
38.250,521.362,0.808195
38.300,524.906,0.681059
38.350,526.574,0.422220
38.400,525.390,0.948287
38.450,524.687,0.930654
38.500,498.436,0.689476
38.550,496.532,0.961247
38.600,499.444,0.823769
38.650,506.768,0.674948
38.700,499.612,0.619342
38.750,527.376,0.914713
38.800,528.562,0.811974
38.850,522.229,0.772531
38.900,518.870,0.390725
38.950,499.122,0.926800
39.000,499.320,0.922643
39.050,490.660,0.531609
39.100,451.922,0.520998
39.150,440.094,0.791283
39.200,440.696,0.956256
39.250,493.287,0.539533
39.300,445.889,0.901577
39.350,444.453,0.422484
39.400,442.340,0.947122
39.450,470.697,0.951581
39.500,496.370,0.838655
39.550,494.413,0.481250
39.600,439.706,0.881529
39.650,440.873,0.934693
39.700,442.247,0.401236
39.750,491.807,0.744508
39.800,513.058,0.817192
39.850,526.195,0.906271
39.900,507.263,0.894279
39.950,497.939,0.912395
40.000,510.415,0.806926
40.050,495.109,0.951409
40.100,491.895,0.707380
40.150,496.558,0.971562
40.200,499.050,0.845010
40.250,484.075,0.884148
40.300,490.341,0.852544
40.350,496.689,0.932575
40.400,493.956,0.956246
40.450,443.438,0.864422
40.500,440.393,0.940582
40.550,492.595,0.849417
40.600,492.183,0.848635
40.650,492.250,0.901897
40.700,492.340,0.957068
40.750,498.235,0.377712
40.800,495.850,0.948267
40.850,499.735,0.592725
40.900,509.159,0.612079
40.950,501.424,0.758528
41.000,495.337,0.825825
41.050,433.555,0.219801
41.100,440.309,0.953827
41.150,439.838,0.930899
41.200,437.742,0.547651
41.250,476.465,0.414489
41.300,495.751,0.965023
41.350,496.725,0.950227
41.400,499.593,0.272059
41.450,513.312,0.373977
41.500,557.339,0.738476
41.550,559.709,0.879485
41.600,541.524,0.378538
41.650,565.235,0.808582
41.700,585.739,0.826464
41.750,588.532,0.894571
41.800,587.757,0.287373
41.850,588.946,0.877574
41.900,583.115,0.416099
41.950,586.825,0.915683
42.000,586.267,0.962213
42.050,584.178,0.937071
42.100,570.912,0.708223
42.150,569.588,0.795163
42.200,563.193,0.605489
42.250,555.092,0.362900
42.300,554.108,0.346539
42.350,550.889,0.450077
42.400,570.362,0.768180
42.450,572.904,0.843716
42.500,558.845,0.520097
42.550,556.796,0.324706
42.600,558.888,0.569446
42.650,557.792,0.485329
42.700,558.534,0.598180
42.750,562.877,0.791881
42.800,578.599,0.678203
42.850,577.688,0.678740
42.900,560.243,0.185712
42.950,559.944,0.687790
43.000,538.215,0.420698
43.050,495.689,0.827933
43.100,501.810,0.753492
43.150,559.719,0.761280
43.200,575.309,0.801796
43.250,584.014,0.943431
43.300,583.684,0.962208
43.350,559.579,0.544022
43.400,559.976,0.625621
43.450,572.705,0.666471
43.500,575.245,0.777046
43.550,555.021,0.697883
43.600,556.768,0.884819
43.650,586.664,0.159826
43.700,662.200,0.958547
43.750,661.049,0.958219
43.800,726.984,0.459465
43.850,778.988,0.839124
43.900,779.863,0.742728
43.950,779.835,0.736790
44.000,780.239,0.642887
44.050,780.194,0.918496
44.100,776.051,0.754992
44.150,769.060,0.910058
44.200,778.359,0.298441
44.250,779.745,0.626090
44.300,774.320,0.494576
44.350,763.590,0.768078
44.400,786.387,0.253574
44.450,780.647,0.841828
44.500,783.744,0.615527
44.550,785.754,0.835026
44.600,782.375,0.859563
44.650,783.224,0.859734
44.700,785.267,0.643610
44.750,784.322,0.516670
44.800,736.249,0.558807
